ID,dbh
VLF101,27.5
VLF102,36.0
VLF103,23.5
VLF104,32.5
VLF105,31.5
VLF106,39.0
VLF107,25.0
VLF108,33.5
VLF109,34.5
VLF110,11.0
VLF111,16.5
VLF112,24.0
VLF113,27.0
VLF114,36.5
VLF115,28.0
VLF116,17.8
VLF117,11.7
VLF118,22.5
VLF119,21.2
VLF120,22.0
VLF121,30.0
VLF122,22.5
VLF123,40.3
VLF124,16.7
VLF125,34.0
VLF126,23.0
VLF127,40.4
VLF128,31.8
VLF129,27.0
VLF130,30.4
VLF131,21.3
VLF132,17.4
VLF133,18.6
VLF134,32.2
VLF135,20.2
VLF136,25.5
VLF137,17.0
VLF138,15.8
VLF139,25.3
VLF140,31.8
VLF141,38.2
VLF142,27.2
VLF143,37.9
VLF144,13.1
VLF145,40.5
VLF146,23.5
VLF147,18.3
VLF148,16.0
VLF149,18.6
VLF150,39.8
