year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,oct.mar,apr.sept
1938,-0.241284,-0.43945,-0.185321,-0.369725,-0.868808,-0.336696,0.121102,1.5211,-0.18532,0.719267,0.188073,7.16E-02,-0.4645265,-0.0197245
1939,-0.141284,0.66055,-0.485321,-1.26972,-1.46881,-1.13669,0.821102,-7.89E-02,-0.78532,-0.680733,-0.511927,-0.22844,0.16880745,-0.653055917
1940,-4.13E-02,0.26055,0.614679,-2.06973,-0.968808,-1.7367,-0.778897,0.421103,0.91468,0.419266,8.81E-02,0.37156,-0.097859233,-0.703058667
1941,-4.13E-02,6.06E-02,-0.585321,-1.06972,-1.36881,-2.5367,0.121102,-0.378898,-8.53E-02,-0.580734,8.81E-02,0.37156,0.052140733,-0.886391083
1942,-4.13E-02,-0.53945,0.814679,-0.669725,-0.168808,-1.0367,-0.178898,-0.578897,-8.53E-02,1.01927,8.81E-02,-0.42844,0.018807317,-0.453058083
1943,-0.241284,-0.63945,0.514679,-0.169725,0.131192,0.263305,0.421103,0.821102,0.21468,-0.180733,-0.811927,-0.42844,0.052141383,0.280276167
1944,-4.13E-02,-0.63945,-1.18532,-0.469725,-0.968808,0.263305,1.3211,-0.678898,-0.58532,0.319267,8.81E-02,-0.42844,-0.547859067,-0.186391
1945,5.87E-02,-0.33945,-8.53E-02,1.23027,-1.16881,-0.436695,-0.678898,1.4211,2.11468,0.319267,1.78807,-2.84E-02,-0.06452585,0.413607833
1946,0.358716,0.66055,0.114679,0.930275,0.131192,0.363305,0.821102,0.321102,0.514681,0.119266,0.188073,-0.32844,0.535473617,0.5136095
1947,0.758716,-0.23945,-0.785321,-0.369725,0.631192,-0.136695,-0.778897,-7.89E-02,0.614679,-0.380734,0.488073,-0.12844,-0.047859333,-0.019723917
1948,-4.13E-02,0.26055,1.21468,2.13027,-0.468808,1.36331,0.421103,1.3211,2.11468,-8.07E-02,-0.111927,0.57156,0.2354741,1.1469425
1949,0.158716,0.86055,0.514679,0.430275,0.731191,1.0633,2.6211,0.321102,0.91468,0.819267,0.188073,-0.12844,0.318807367,1.013608
1950,0.958716,6.06E-02,0.814679,0.330275,3.12E-02,-0.336696,0.221103,-7.89E-02,0.21468,0.419266,-0.411927,-0.42844,0.452140917,0.063609467
1951,-4.13E-02,0.160551,-0.485321,-0.769725,0.631192,0.163304,0.321102,1.6211,0.514681,2.31927,0.588073,0.57156,-0.131192567,0.413609
1952,0.358716,6.06E-02,0.314679,1.13028,2.13119,0.963305,1.9211,-0.478898,1.31468,-0.480734,1.08807,-0.42844,0.702141417,1.1636095
1953,5.87E-02,0.46055,0.714679,-0.669725,-6.88E-02,6.33E-02,0.721103,2.4211,0.31468,1.01927,0.888073,0.47156,0.235473433,0.463609217
1954,0.258716,0.560551,-0.385321,0.530275,-0.568808,0.163304,0.321102,0.921103,0.91468,-0.580734,0.588073,-0.42844,0.468808167,0.380276
1955,-0.241284,0.160551,0.114679,-0.269725,-1.16881,-0.736695,-7.89E-02,1.3211,0.71468,-0.180733,-0.511927,0.57156,-0.064525833,-0.03639125
1956,-0.241284,-0.43945,0.114679,1.03028,-1.26881,1.4633,-0.978898,-0.378898,0.71468,-0.680733,-1.01193,-0.42844,-0.114525833,0.096942333
1957,0.158716,-0.63945,0.114679,0.330275,-0.368808,-0.236695,-0.178898,-0.978898,-1.58532,-2.08073,0.388073,0.77156,-0.414526333,-0.503057333
1958,-0.241284,-0.43945,-0.485321,0.230275,0.131192,0.263305,1.5211,-0.178898,0.71468,-8.07E-02,0.288073,0.67156,-0.347858667,0.446942333
1959,-0.141284,0.86055,0.614679,-0.469725,-0.468808,6.33E-02,1.2211,1.5211,-0.485319,0.419266,-1.19E-02,-2.84E-02,0.368807367,0.230275483
1960,-0.241284,0.26055,0.814679,-0.369725,-1.06881,-0.936695,0.121102,1.0211,0.31468,0.319267,-0.111927,-0.32844,0.202140667,-0.153058
1961,-0.241284,-0.13945,0.914679,0.730275,-0.268809,1.7633,1.6211,1.9211,0.41468,0.919266,1.08807,0.27156,0.0688075,1.030274333
1962,-0.241284,0.160551,-1.28532,-1.46972,-1.56881,-0.936695,1.2211,-7.89E-02,-8.53E-02,1.21927,8.81E-02,0.57156,0.1521405,-0.4863905
1963,-0.241284,-0.63945,0.214679,0.130275,1.93119,0.163304,-0.478898,0.721102,0.71468,-0.780734,0.588073,0.17156,0.202141383,0.5302755
1964,0.358716,-0.63945,1.11468,2.73027,2.13119,-0.136695,0.621102,0.721102,0.614679,1.61927,0.288073,-2.84E-02,0.135474167,1.113608
1965,0.258716,-3.94E-02,-0.485321,1.33028,0.631192,-0.236695,0.121102,-2.2789,-1.38532,0.619266,0.288073,-0.42844,0.268808033,-0.303056833
1966,0.158716,0.46055,0.314679,-0.169725,-0.968808,-1.2367,0.921103,1.1211,-0.68532,-0.180733,-0.911927,-0.42844,0.235474,-0.169725
1967,-0.241284,-0.43945,0.114679,0.630275,2.73119,0.263305,1.0211,2.0211,-8.53E-02,0.219267,-0.411927,-0.42844,-0.347859167,1.096941583
1968,-0.241284,-0.63945,0.814679,3.03E-02,-0.168808,-0.436695,-7.89E-02,-0.578897,0.21468,1.93E-02,0.788073,0.77156,-0.114525833,-0.169723733
1969,-0.141284,-0.43945,0.214679,0.630275,2.03119,-1.5367,0.321102,-1.1789,-0.58532,1.11927,-1.11193,-0.42844,0.202140683,-0.053058833
1970,-0.241284,0.26055,-1.08532,-0.169725,1.23119,-0.836696,0.421103,1.1211,-0.385321,-0.280734,-0.411927,-2.84E-02,-0.247859,0.230275167
1971,-0.141284,-3.94E-02,0.114679,0.630275,-0.268809,-0.136695,0.221103,-7.89E-02,-0.28532,-0.680733,0.188073,0.17156,-0.131192633,0.013609417
1972,0.358716,-0.33945,1.11468,0.130275,0.731191,-0.236695,-0.478898,-1.0789,-3.28532,-2.38073,-0.411927,-0.32844,0.135474333,-0.703057833
1973,0.258716,6.06E-02,1.47E-02,3.03E-02,0.731191,-0.736695,-1.5789,-0.178898,0.514681,-0.180733,-0.411927,-0.42844,-0.464525233,-0.20305765
1974,5.87E-02,-0.23945,-0.385321,-0.569725,1.33119,-1.0367,-0.978898,-1.7789,-0.68532,-0.880734,0.788073,-2.84E-02,-0.2645259,-0.6197255
1975,0.358716,-0.13945,0.114679,-0.169725,-0.668808,-0.136695,-0.578897,0.221102,1.71468,1.21927,0.888073,-0.42844,0.03547395,0.0636095
1976,-0.241284,0.46055,-0.585321,0.130275,-1.06881,-3.67E-02,-1.5789,-0.578897,0.614679,-8.07E-02,-1.11193,-0.42844,0.218808,-0.41972475
1977,-0.241284,-0.63945,-1.18532,3.03E-02,-6.88E-02,-0.236695,0.421103,-0.178898,0.91468,0.319267,0.488073,0.37156,-0.6145263,0.146942917
1978,-0.241284,-0.43945,0.614679,-1.06972,0.331192,1.0633,0.721103,-7.89E-02,1.47E-02,0.719267,0.888073,0.47156,0.185474167,0.163609733
