ID,dbh
VUF001,37.1
VUF002,34.8
VUF003,29.3
VUF004,17.8
VUF005,25.0
VUF006,16.1
VUF007,15.7
VUF008,10.8
VUF009,13.4
VUF010,26.9
VUF011,28.8
VUF012,12.3
VUF013,27.1
VUF014,10.3
VUF015,22.4
VUF016,13.6
VUF017,53.6
VUF018,17.4
VUF019,8.8
VUF020,14.6
VUF021,29.0
VUF022,11.7
VUF023,33.0
VUF024,34.8
VUF025,25.2
VUF026,17.0
VUF027,25.3
VUF028,11.1
VUF029,19.7
VUF030,21.6
VUF031,13.0
VUF032,25.0
VUF033,10.5
VUF034,17.3
VUF035,7.7
VUF036,13.2
VUF037,16.0
VUF038,34.5
VUF039,44.3
VUF040,46.3
VUF041,27.0
VUF042,40.2
VUF043,21.6
VUF044,20.9
VUF045,24.9
VUF046,11.3
VUF047,7.0
VUF048,19.0
VUF049,27.8
VUF050,12.2
