year,std,res,ars
1923,0.813,0.891,0.863
1924,1.251,1.194,1.228
1925,0.859,0.935,0.922
1926,0.884,0.911,0.92
1927,0.922,0.974,0.965
1928,0.919,0.848,0.892
1929,1.063,1.078,0.964
1930,0.943,0.919,0.976
1931,1.043,0.966,0.981
1932,1.005,1.049,1.046
1933,0.981,1.015,1.05
1934,1.055,1.11,1.111
1935,0.906,0.924,0.934
1936,1.1,1.108,1.112
1937,1.044,1.068,1.048
1938,1.048,1.032,1.031
1939,0.693,0.761,0.729
1940,1.064,1.065,1.094
1941,0.998,1.056,0.993
1942,0.955,0.956,0.968
1943,1.375,1.392,1.38
1944,1.338,1.223,1.347
1945,1.101,1.161,1.122
1946,0.987,1.008,1.041
1947,0.958,0.98,0.994
1948,0.771,0.949,0.805
1949,0.773,0.82,0.743
1950,0.983,0.977,0.964
1951,0.789,0.767,0.76
1952,1.238,1.236,1.235
1953,1.165,1.089,1.157
1954,0.707,0.645,0.734
1955,0.794,0.9,0.856
1956,0.805,0.799,0.856
1957,0.458,0.632,0.498
1958,0.584,0.639,0.586
1959,1.155,1.092,1.167
1960,1.035,1.029,1.035
1961,1.099,1.038,1.084
1962,1.037,0.929,1.088
1963,0.478,0.495,0.575
1964,0.589,0.819,0.669
1965,1.12,1.178,1.149
1966,1.073,1.114,1.089
1967,0.949,0.939,0.937
1968,1.144,1.007,1.172
1969,1.297,1.286,1.342
1970,1.226,1.314,1.234
1971,0.903,0.893,0.91
1972,1.165,1.142,1.18
1973,0.979,1.068,0.995
1974,0.663,0.745,0.661
1975,1.146,1.215,1.161
1976,0.796,0.735,0.797
1977,0.83,0.951,0.876
1978,1.13,1.149,1.154
1979,1.26,1.128,1.259
1980,0.982,1.084,0.992
1981,1.226,1.101,1.21
1982,1.354,1.345,1.362
1983,1.145,1.191,1.146
1984,0.9,0.968,0.919
1985,0.935,0.942,0.983
1986,0.534,0.675,0.589
1987,0.525,0.715,0.596
1988,1.138,1.232,1.192
1989,0.552,0.538,0.589
1990,0.746,0.781,0.769
1991,0.966,0.905,1.009
1992,1.08,0.988,1.069
1993,1.051,1.203,1.072
1994,1.013,0.811,0.999
1995,1.482,1.511,1.53
1996,0.576,0.608,0.592
1997,1.212,1.246,1.23
1998,1.224,1.3,1.259
1999,1.651,1.543,1.596
2000,0.324,0.552,0.392
2001,1.218,0.957,1.19
2002,0.43,0.718,0.529
2003,0.84,0.825,0.774
2004,1.208,1.433,1.206
2005,1.512,1.088,1.421
2006,0.468,0.667,0.531
2007,1.228,1.041,1.237
2008,0.892,1.024,1.007
2009,1.058,1.15,1.065
2010,0.832,0.952,0.823
2011,1.112,0.921,1.159
