model,spp,beta0,beta1
jenkins,pine,-2.5356,2.4349
jenkins,spruce,-2.0773,2.3323
n/t,piaz,0.0572,2.5569
n/t,pine.spp,0.0597,2.5741
n/t,spruce,0.155,2.334
n/t,pipo,0.054,2.651
n/t,vcnp,0.063,2.615
n/t,pine.dom,0.0546,2.64
n/t,mixed.con,0.0961,2.493
n/t,psme,0.181,2.371
