"","VUF001A","VUF001B","VUF002A","VUF002B","VUF003A","VUF003B","VUF004A","VUF004B","VUF005A","VUF005B","VUF006A","VUF006B","VUF007A","VUF007B","VUF008A","VUF008B","VUF009A","VUF009B","VUF010A","VUF010B","VUF011A","VUF011B","VUF012A","VUF012B","VUF013A","VUF013B","VUF015A","VUF015B","VUF016A","VUF016B","VUF017A","VUF017B","VUF018A","VUF018B","VUF019A","VUF019B","VUF020A","VUF020B","VUF021A","VUF021B","VUF022A","VUF023A","VUF023B","VUF024A","VUF024B","VUF025A","VUF025B","VUF026A","VUF026B","VUF027A","VUF028A","VUF028B","VUF029A","VUF029B","VUF030A","VUF030B","VUF031A","VUF031B","VUF032A","VUF032B","VUF034A","VUF034B","VUF036A","VUF036B","VUF037A","VUF037B","VUF038A","VUF038B","VUF039A","VUF039B","VUF040A","VUF041A","VUF041B","VUF042A","VUF042B","VUF044A","VUF044B","VUF045A","VUF045B","VUF047A","VUF047B","VUF048A","VUF048B","VUF049A","VUF049B","VUF050A","VUF050B","VUF101A","VUF101B","VUF102A","VUF102B","VUF104A","VUF104B","VUF105A","VUF105B","VUF106A","VUF106B","VUF107A","VUF107B","VUF108A","VUF108B","VUF109A","VUF109B","VUF110A","VUF110B","VUF111A","VUF111B","VUF112A","VUF112B","VUF114A","VUF114B","VUF115A","VUF115B","VUF116A","VUF116B","VUF117A","VUF118A","VUF119A","VUF119B","VUF119C","VUF120B","VUF122A","VUF122B","VUF125A","VUF128A","VUF128B","VUF129A","VUF129B","VUF130A","VUF130B","VUF131A","VUF131B","VUF132A","VUF132B","VUF133A","VUF133B","VUF135A","VUF136B","VUF137A","VUF137B","VUF139A","VUF140A","VUF140B","VUF142A","VUF142B","VUF143A","VUF143B","VUF144A","VUF144B","VUF145A","VUF145B","VUF146A","VUF146B","VUF147A","VUF148A","VUF148B","VUF149A","VUF150A","VUF151A","VUF151B"
"1968",32.627,31.182,28.763,27.457,24.857,24.275,14.065,14.205,19.135,18.388,14.203,13.96,12.407,12.591,8.32900000000001,8.605,10.49,9.093,20.489,20.477,23.566,23.143,11.085,9.56700000000001,21.041,18.689,16.516,16.031,10.641,10.936,42.256,44.039,14.68,13.928,6.96,6.71,12.038,11.791,22.641,22.423,9.078,27.263,28.651,28.875,28.824,18.421,17.636,13.845,12.811,NA,7.541,NA,14.244,13.903,13.801,15.645,10.308,9.04,18.763,18.658,13.867,14.867,11.109,10.454,13.03,11.621,26.273,24.5,35.604,35.245,37.409,20.323,20.016,31.567,33.593,17.167,16.991,19.433,19.109,4.932,5.804,13.944,15.001,NA,20.35,9.914,8.29500000000001,26.193,27.181,15.984,15.019,12.81,12.792,NA,10.924,10.825,11.534,18.166,18.294,18.442,18.547,27.848,26.661,21.169,19.797,20.337,18.195,16.202,16.722,12.022,10.786,13.264,12.785,12.771,12.793,NA,13.985,NA,11.237,NA,10.757,7.921,7.244,6.318,NA,NA,16.513,16.062,12.258,10.39,12.887,NA,12.449,12.655,21.577,21.677,7.116,8.52000000000001,25.279,27.661,28.563,27.529,21.922,NA,NA,14.054,14.015,28.779,29.858,11.799,12.621,9.63900000000001,9.993,17.814,18.329,18.508,25.145,NA,16.232,16.192
"1967",32.409,30.963,28.31,26.997,24.666,23.966,13.864,14.033,18.939,18.12,14.066,13.81,12.293,12.444,8.13200000000001,8.459,10.302,8.927,20.289,20.346,23.254,22.893,11.005,9.46000000000001,20.811,18.456,16.226,15.817,10.441,10.722,41.867,43.66,14.542,13.752,6.845,6.559,11.937,11.63,22.421,22.163,8.91400000000001,27.005,28.464,28.591,28.541,18.211,17.351,13.716,12.548,NA,NA,NA,14.034,13.709,NA,15.479,10.143,8.69,18.548,18.448,13.791,14.819,10.998,10.365,12.881,11.479,25.842,24.04,35.406,34.982,37.031,20.075,19.717,31.255,33.34,17.004,16.859,19.28,18.988,4.855,5.759,13.651,14.801,NA,19.957,9.744,8.056,26.005,26.963,15.895,14.962,12.773,12.732,NA,10.89,10.761,11.475,18.018,18.111,18.289,18.375,27.481,26.372,21.048,19.663,20.215,18.034,16.123,16.647,11.939,10.708,13.159,12.663,12.602,12.588,NA,13.8,NA,10.875,NA,10.552,7.796,7.049,6.219,NA,NA,16.283,15.902,12.184,10.282,12.86,NA,12.36,12.588,21.497,21.618,7.099,8.49000000000001,25.084,27.478,28.331,27.369,21.748,NA,NA,14,13.954,28.535,29.556,11.616,12.5,9.50700000000001,9.83,17.525,18.137,18.354,24.759,NA,16.045,16.015
"1966",32.219,30.785,27.978,26.686,24.501,23.724,13.683,13.849,18.781,17.928,13.961,13.667,12.205,12.335,7.96800000000001,8.327,10.164,8.8,20.136,20.221,23.032,22.709,10.938,9.39300000000001,20.624,18.276,15.977,15.632,10.267,10.559,41.534,43.365,14.455,13.613,6.753,6.44,11.866,11.522,22.243,22.001,8.67300000000001,26.789,28.255,28.365,28.335,18.047,17.17,13.613,12.341,NA,NA,NA,13.88,13.555,NA,15.254,9.981,8.284,18.398,18.312,13.72,14.78,10.914,10.303,12.754,11.355,25.465,23.657,35.288,34.807,36.771,19.871,19.513,31.035,33.153,16.84,16.729,19.156,18.885,4.797,5.724,13.399,14.628,NA,19.649,9.571,7.831,25.862,26.828,15.822,14.907,12.743,12.684,NA,10.865,10.709,11.421,17.955,18.024,18.174,18.244,27.243,26.166,20.955,19.557,20.1,17.909,16.014,16.568,11.865,NA,13.061,12.567,12.491,12.43,NA,NA,NA,10.687,NA,10.389,7.682,6.907,6.081,NA,NA,16.113,15.784,12.135,10.211,12.839,NA,12.29,12.531,21.446,21.569,7.081,8.46300000000001,24.893,27.294,28.172,27.249,21.638,NA,NA,13.96,13.913,28.291,29.311,11.449,12.392,9.38200000000001,9.693,17.279,18.019,18.245,24.481,NA,15.905,15.878
"1965",32.023,30.602,27.695,26.269,24.314,23.471,13.501,13.647,18.577,17.695,13.83,13.493,12.112,12.192,7.78200000000001,8.15,9.975,8.648,19.95,20.108,22.722,22.49,10.83,9.28800000000001,20.425,18.095,15.674,15.399,10.049,10.32,41.18,43.041,14.296,13.425,6.642,6.291,11.782,11.395,22.038,21.777,8.44900000000001,26.626,28.043,28.059,28.053,17.833,16.882,13.478,12.069,NA,NA,NA,13.718,13.413,NA,14.967,9.817,7.814,18.154,18.069,13.661,14.737,10.815,10.225,12.587,11.193,25.084,23.243,35.166,34.66,36.52,19.63,19.27,30.77,32.954,16.682,16.603,19.019,18.76,4.758,5.699,13.079,14.419,NA,19.244,9.352,7.623,25.685,26.629,15.76,14.87,12.71,12.619,NA,10.843,10.647,11.359,17.897,17.959,18.038,18.072,26.917,25.921,20.874,19.456,19.937,17.727,15.906,16.456,11.773,NA,12.951,12.466,12.424,12.319,NA,NA,NA,10.453,NA,10.244,7.58700000000001,6.777,5.919,NA,NA,15.962,15.636,12.074,10.149,12.825,NA,12.219,12.461,21.395,21.503,7.063,8.43900000000001,24.732,27.11,27.991,27.164,21.544,NA,NA,13.91,13.87,28.037,29.062,11.302,12.271,9.23600000000001,9.516,17.026,17.873,18.079,24.205,NA,15.698,15.661
"1964",31.905,30.484,27.568,25.999,24.156,23.235,13.283,13.386,18.43,17.521,13.734,13.37,12.027,12.059,7.59100000000001,7.959,9.811,8.451,19.799,20.014,22.444,22.279,10.722,9.19400000000001,20.178,17.864,15.336,15.176,9.928,10.224,40.897,42.782,14.086,13.252,6.511,6.10300000000001,11.695,11.285,21.86,21.558,8.293,26.358,27.76,27.85,27.86,17.6,16.622,13.342,11.82,NA,NA,NA,13.544,13.238,NA,14.793,9.749,7.649,17.959,17.903,13.62,14.69,10.709,10.118,12.416,11.036,24.782,22.867,35.097,34.587,36.285,19.419,19.053,30.523,32.797,16.575,16.503,18.888,18.647,4.71,5.668,12.814,14.297,NA,NA,9.142,7.472,25.525,26.458,15.69,14.784,12.678,12.566,NA,10.811,10.576,11.28,17.818,17.875,17.905,17.9,26.644,25.728,20.805,19.372,19.825,17.581,15.791,16.349,11.695,NA,12.84,12.353,12.347,12.147,NA,NA,NA,10.257,NA,10.098,7.49200000000001,6.674,5.847,NA,NA,15.807,15.458,12.012,10.087,12.809,NA,12.181,12.379,21.329,21.437,7.052,8.40500000000001,24.589,26.948,27.816,27.058,21.42,NA,NA,13.859,13.825,27.85,28.899,11.142,12.127,9.09400000000001,9.337,16.745,17.745,17.896,23.963,NA,15.499,15.447
"1963",31.826,30.425,27.498,25.828,24.077,23.14,13.193,13.285,18.352,17.399,13.67,13.297,11.982,11.998,7.49700000000001,7.878,9.729,8.349,19.739,19.956,22.294,22.155,10.666,9.14000000000001,20.081,17.757,15.144,15.032,9.803,10.125,40.66,42.571,14.002,13.151,6.454,6.00300000000001,11.646,11.205,21.739,21.425,8.18900000000001,26.204,27.534,27.683,27.674,17.437,16.411,13.271,11.693,NA,NA,NA,13.448,13.137,NA,14.658,9.684,7.587,17.863,17.817,13.6,14.669,10.658,10.06,12.353,10.976,24.587,22.685,35.047,34.542,36.099,19.25,18.889,30.404,32.713,16.521,16.447,18.836,18.561,4.678,5.642,12.597,14.183,NA,NA,8.989,7.36100000000001,25.456,26.374,15.666,14.756,12.673,12.552,NA,10.801,10.548,11.258,17.791,17.85,17.852,17.828,26.46,25.624,20.761,19.333,19.792,17.536,15.744,16.299,11.664,NA,12.785,12.27,12.318,12.077,NA,NA,NA,10.15,NA,10.031,7.41500000000001,6.618,5.831,NA,NA,15.735,15.371,11.979,10.06,12.794,NA,12.161,12.336,21.299,21.417,7.041,8.39200000000001,24.509,26.846,27.693,26.991,21.326,NA,NA,13.832,13.801,27.759,28.818,10.989,12.013,9.02400000000001,9.256,16.581,17.691,17.79,23.84,NA,15.366,15.304
"1962",31.779,30.384,27.433,25.68,23.992,23.034,13.102,13.176,18.304,17.312,13.625,13.233,11.948,11.954,7.43200000000001,7.811,9.657,8.26,19.677,19.909,22.162,22.048,10.611,9.09000000000001,19.965,17.668,14.992,14.872,9.665,9.993,40.517,42.43,13.948,13.085,6.411,5.93700000000001,11.605,11.141,21.659,21.33,8.04500000000001,26.098,27.369,27.578,27.543,17.308,16.27,13.232,11.616,NA,NA,NA,13.349,13.023,NA,14.454,9.545,7.53,17.797,17.758,13.581,14.648,10.609,10.02,12.299,10.923,24.438,22.551,35.046,34.539,35.989,19.117,18.739,30.323,32.662,16.475,16.401,18.795,18.505,4.647,5.614,12.422,14.087,NA,NA,8.927,7.28700000000001,25.363,26.304,15.642,14.729,12.667,12.541,NA,10.794,10.508,11.223,17.762,17.819,17.812,17.779,26.36,25.562,20.745,19.312,19.748,17.486,15.696,16.238,11.629,NA,12.719,12.218,12.287,12.023,NA,NA,NA,10.119,NA,9.964,7.366,6.497,5.821,NA,NA,15.664,15.289,11.945,10.048,12.783,NA,12.16,12.317,21.261,21.377,7.028,8.38000000000001,24.456,26.773,27.601,26.963,21.283,NA,NA,13.816,13.79,27.697,28.771,10.912,11.947,8.95900000000001,9.189,16.448,17.652,17.71,23.794,NA,15.29,15.222
"1961",31.688,30.304,27.384,25.462,23.826,22.811,12.987,12.939,18.218,17.188,13.548,13.135,11.873,11.844,7.33000000000001,7.716,9.544,8.102,19.557,19.821,21.95,22.017,10.483,8.973,19.769,17.485,14.604,14.678,9.528,9.868,40.296,42.147,13.858,12.981,6.348,5.82200000000001,11.542,11.041,21.527,21.167,7.90400000000001,25.98,27.187,27.421,27.38,17.129,16.08,13.158,11.493,NA,NA,NA,13.205,12.851,NA,14.248,9.393,7.372,17.648,17.598,13.542,14.595,10.524,9.937,12.215,10.839,24.112,22.181,35.044,34.527,35.861,18.942,18.556,30.152,32.557,16.358,16.301,18.737,18.424,4.617,5.595,NA,13.984,NA,NA,8.878,7.22400000000001,25.157,26.139,15.588,14.661,12.634,12.487,NA,10.76,10.423,11.122,17.683,17.734,17.741,17.645,26.152,25.462,20.695,19.256,19.65,17.369,15.633,16.15,11.539,NA,12.643,12.156,12.211,11.926,NA,NA,NA,10.027,NA,9.858,7.28,6.453,5.755,NA,NA,15.515,15.134,11.858,9.99099999999999,12.76,NA,12.142,12.29,21.208,21.285,7.019,8.36100000000001,24.34,26.624,27.442,26.903,21.202,NA,NA,13.784,13.768,27.553,28.624,10.789,11.847,8.86300000000001,9.036,16.221,17.561,17.546,23.685,NA,15.16,15.09
"1960",31.576,30.217,27.311,25.252,23.692,22.627,12.94,12.786,18.1,17.054,13.471,13.051,11.793,11.74,7.23200000000001,7.625,9.415,7.959,19.428,19.731,21.768,21.87,10.356,8.825,19.58,17.299,14.034,14.572,9.414,9.776,40.114,41.96,13.765,12.891,6.262,5.70000000000001,11.483,10.943,21.417,21.028,7.75600000000001,25.841,27.025,27.306,27.218,16.927,15.86,13.081,11.345,NA,NA,NA,13.077,12.697,NA,14.076,9.282,7.187,17.514,17.444,13.501,14.55,10.46,9.88200000000001,12.14,10.755,23.848,21.906,35.006,34.481,35.685,18.803,18.396,29.994,32.433,16.268,16.223,18.662,18.333,4.577,5.581,NA,13.892,NA,NA,8.818,7.15700000000001,24.952,25.944,15.54,14.595,12.602,12.437,NA,10.724,10.338,11.013,17.583,17.649,17.684,17.542,26.009,25.37,20.649,19.182,19.532,17.234,15.567,16.067,11.47,NA,12.557,12.059,12.117,11.802,NA,NA,NA,9.917,NA,9.778,7.233,6.348,5.678,NA,NA,15.392,15.011,11.788,9.94199999999999,12.752,NA,12.122,12.236,21.145,21.127,7.017,8.35100000000001,24.215,26.49,27.292,26.833,21.1,NA,NA,13.747,13.734,27.434,28.507,10.656,11.743,8.74700000000001,8.842,16.006,17.458,17.388,23.573,NA,15.012,14.948
"1959",31.483,30.132,27.221,25.032,23.578,22.482,NA,12.636,17.977,16.92,13.343,12.928,11.693,11.629,7.13900000000001,7.526,9.26600000000001,7.785,19.273,19.639,21.604,21.736,10.241,8.74700000000001,19.423,17.135,13.87,14.416,9.239,9.597,39.886,41.747,13.662,12.811,6.212,5.60000000000001,11.415,10.857,21.274,20.871,7.59200000000001,25.684,26.821,27.174,27.014,16.756,15.675,13.003,11.192,NA,NA,NA,12.927,12.539,NA,13.889,9.169,7.066,17.378,17.309,13.463,14.52,10.384,9.816,12.061,10.683,23.565,21.593,34.983,34.463,35.565,18.667,18.26,29.812,32.295,16.182,16.151,18.567,18.223,4.545,5.558,NA,13.796,NA,NA,8.753,7.08600000000001,24.789,25.773,15.487,14.52,12.557,12.372,NA,10.679,10.23,10.889,17.487,17.584,17.624,17.45,25.899,25.295,20.594,19.119,19.446,17.117,15.525,16.009,11.404,NA,12.462,11.961,12.051,11.696,NA,NA,NA,9.837,NA,9.698,7.14000000000001,6.058,5.65,NA,NA,15.282,14.903,11.736,9.89499999999999,12.743,NA,NA,NA,21.104,21.022,7.014,8.33500000000001,24.091,26.354,27.119,26.729,20.955,NA,NA,13.718,13.702,27.332,28.387,10.561,11.679,8.64100000000001,8.712,15.821,17.36,17.253,23.489,NA,14.902,14.839
"1958",31.348,30.02,27.124,24.657,23.386,22.247,NA,12.415,17.846,16.716,13.202,12.818,11.596,11.521,6.98800000000001,7.378,9.09800000000001,7.589,19.104,19.505,21.399,21.633,10.127,8.66700000000001,19.271,16.963,13.612,14.163,9.16,9.512,39.565,41.472,13.53,12.714,6.122,5.49100000000001,11.31,10.73,21.123,20.662,7.48000000000001,25.48,26.599,26.987,26.81,16.546,15.456,12.914,11.05,NA,NA,NA,12.755,12.368,NA,NA,9.102,6.938,17.193,17.14,13.401,14.473,10.292,9.74400000000001,11.962,10.604,23.3,21.242,34.924,34.398,35.378,18.484,18.077,29.591,32.131,16.107,16.078,18.442,18.095,4.513,5.533,NA,13.698,NA,NA,8.686,7.01000000000001,24.662,25.578,15.435,14.453,12.505,12.305,NA,10.613,10.083,10.778,17.389,17.501,17.526,17.331,25.785,25.2,20.532,19.055,19.376,17.026,15.487,15.961,11.343,NA,12.362,11.868,11.96,11.584,NA,NA,NA,9.747,NA,9.596,7.02,5.954,5.618,NA,NA,15.183,14.772,11.692,9.83799999999999,12.72,NA,NA,NA,21.057,20.894,6.95,8.31100000000001,23.979,26.215,26.931,26.617,20.8,NA,NA,13.692,13.661,27.207,28.275,10.427,11.596,8.51700000000001,8.559,15.621,17.234,17.105,23.41,NA,14.78,14.713
"1957",31.285,29.974,27.069,24.461,23.318,22.108,NA,12.306,17.791,16.632,13.127,12.768,11.537,11.454,6.92900000000001,7.293,8.99400000000001,7.463,19.018,19.431,21.282,21.5,10.072,8.62500000000001,19.179,16.873,13.411,13.965,9.053,9.401,39.438,41.34,13.449,12.645,6.07,5.40400000000001,11.229,10.619,21.053,20.539,7.41100000000001,25.279,26.404,26.886,26.72,16.397,15.313,12.871,NA,NA,NA,NA,12.668,12.28,NA,NA,9.055,6.855,17.075,17.05,13.37,14.447,10.248,9.7,11.908,10.567,23.121,21.012,34.891,34.365,35.29,18.391,17.972,29.496,32.057,16.064,16.043,18.383,18.036,4.493,5.522,NA,13.623,NA,NA,8.654,6.97500000000001,24.586,25.486,15.411,14.425,12.472,12.259,NA,10.579,10.022,10.737,17.346,17.471,17.483,17.286,25.735,25.157,20.498,19.022,19.341,16.97,15.471,15.937,11.314,NA,12.312,11.814,11.921,11.528,NA,NA,NA,9.69,NA,9.512,6.983,5.914,5.606,NA,NA,15.131,14.712,11.67,9.80999999999999,12.701,NA,NA,NA,21.033,20.847,6.88,8.30400000000001,23.927,26.157,26.806,26.575,20.732,NA,NA,13.678,13.642,27.159,28.232,10.343,11.535,8.44200000000001,8.429,15.504,17.183,17.041,23.372,NA,14.704,14.632
"1956",31.244,29.932,27.008,24.304,23.27,22.018,NA,12.196,17.755,16.566,13.079,12.725,11.505,11.399,6.86900000000001,7.23,8.91600000000001,7.381,18.949,19.382,21.199,21.431,10.034,8.59200000000001,19.088,16.793,13.207,13.799,8.973,9.287,39.34,41.244,13.38,12.604,6.01800000000001,5.34400000000001,11.176,10.553,21.007,20.461,7.33400000000001,25.131,26.262,26.796,26.644,16.297,15.192,12.84,NA,NA,NA,NA,12.59,12.21,NA,NA,9.02,6.806,17.002,16.983,13.365,14.429,10.205,9.66400000000001,11.86,10.541,22.995,20.809,34.876,34.352,35.228,18.325,17.908,29.44,32.018,16.026,16.012,18.332,17.99,4.469,5.508,NA,13.543,NA,NA,8.631,6.95600000000001,24.537,25.415,15.392,14.405,12.46,12.228,NA,10.56,9.96600000000001,10.693,17.313,17.443,NA,17.254,25.685,25.125,20.469,18.993,19.311,16.923,15.445,15.903,11.306,NA,12.271,11.78,11.893,11.481,NA,NA,NA,9.647,NA,9.462,NA,NA,5.593,NA,NA,15.094,14.672,11.658,9.80099999999999,12.684,NA,NA,NA,21.01,20.803,6.835,8.29700000000001,23.885,26.109,26.687,26.536,20.666,NA,NA,13.675,13.633,27.122,28.2,10.278,11.479,8.37500000000001,8.357,15.41,17.148,17.004,23.352,NA,14.625,14.551
"1955",31.073,29.842,26.89,24.133,23.177,21.876,NA,12.093,17.699,16.469,13.018,12.66,11.449,11.331,6.81600000000001,7.188,8.83700000000001,7.283,18.85,19.312,21.061,21.388,9.99,8.55700000000001,18.959,16.682,13.041,13.674,8.881,9.16,39.179,41.093,13.305,12.547,5.97900000000001,5.31000000000001,11.122,10.497,20.953,20.372,7.28600000000001,25.003,26.136,26.675,26.57,16.217,15.108,12.784,NA,NA,NA,NA,12.52,12.14,NA,NA,8.972,6.76,16.928,16.92,13.332,14.402,10.127,9.60900000000001,11.789,10.501,22.888,20.668,34.809,34.306,35.141,18.256,17.83,29.327,31.941,15.961,15.958,18.232,17.911,4.437,5.485,NA,13.425,NA,NA,8.601,6.93000000000001,24.426,25.288,15.331,14.33,12.44,12.167,NA,10.521,9.88700000000001,10.625,17.206,17.35,NA,17.171,25.6,25.052,20.403,18.927,19.243,16.806,15.415,15.856,11.289,NA,12.173,11.711,11.838,11.396,NA,NA,NA,9.57,NA,NA,NA,NA,5.534,NA,NA,15.022,14.599,11.635,9.77899999999999,NA,NA,NA,NA,20.981,20.757,6.786,8.28300000000001,23.825,26.054,26.527,26.439,20.525,NA,NA,13.656,13.61,27.03,28.109,10.176,11.433,8.31100000000001,8.26,15.331,17.051,16.9,23.297,NA,14.535,14.457
"1954",30.935,29.768,26.759,23.993,23.067,21.671,NA,11.973,17.608,16.333,12.919,12.596,11.366,11.253,6.74900000000001,7.127,8.74200000000001,7.148,18.725,19.218,20.911,21.301,9.935,8.51700000000001,18.824,16.554,12.855,13.54,8.79,9.054,38.954,40.918,13.212,12.491,5.94000000000001,5.27500000000001,11.061,10.416,20.88,20.241,7.24900000000001,24.848,25.951,26.535,26.486,16.139,15.023,12.735,NA,NA,NA,NA,12.443,12.046,NA,NA,8.936,6.705,16.853,16.856,13.266,14.343,10.033,9.533,11.71,10.44,22.785,20.539,34.728,34.233,35.048,18.144,17.727,29.196,31.819,15.879,15.898,18.129,17.796,4.395,5.449,NA,13.333,NA,NA,8.544,6.87200000000001,24.329,25.167,15.264,14.251,12.414,12.114,NA,10.487,9.80900000000001,10.562,17.098,17.252,NA,17.086,25.524,24.979,20.324,18.835,19.159,16.688,15.381,15.791,11.274,NA,12.095,11.649,11.791,11.327,NA,NA,NA,9.466,NA,NA,NA,NA,5.483,NA,NA,14.935,14.486,11.599,9.74499999999999,NA,NA,NA,NA,20.944,20.715,6.752,8.26600000000001,23.767,26,26.359,26.32,20.387,NA,NA,13.635,13.578,26.929,28.013,10.081,11.368,8.24800000000001,8.21,15.242,16.962,16.792,23.222,NA,14.448,14.37
"1953",30.791,29.662,26.606,23.817,22.975,21.532,NA,11.885,17.552,16.238,12.851,12.544,11.293,11.167,6.70800000000001,7.088,8.67100000000001,7.055,18.567,19.133,20.78,21.18,9.827,8.43900000000001,18.644,16.411,12.631,NA,8.702,8.941,38.74,40.744,13.161,12.464,5.90200000000001,5.24600000000001,11.017,10.367,20.79,NA,7.19400000000001,24.728,25.825,26.406,26.39,16.064,14.944,12.697,NA,NA,NA,NA,12.389,11.944,NA,NA,NA,6.657,16.778,16.778,13.2,14.289,9.973,9.483,11.677,10.401,22.711,20.427,34.679,34.177,34.981,18.048,17.639,29.117,31.734,15.777,15.823,18.046,17.7,4.353,5.411,NA,NA,NA,NA,8.483,6.80300000000001,24.222,25.058,15.224,14.182,12.392,12.05,NA,10.448,9.74600000000001,10.505,16.989,17.17,NA,17.028,25.44,24.908,20.251,18.741,19.061,16.579,15.356,15.736,11.264,NA,12.042,11.609,11.756,11.281,NA,NA,NA,9.365,NA,NA,NA,NA,5.456,NA,NA,14.82,14.368,11.537,9.71499999999999,NA,NA,NA,NA,20.914,20.656,6.663,8.24500000000001,23.716,25.957,26.197,26.232,20.253,NA,NA,13.629,13.553,26.834,27.943,9.991,11.308,8.18600000000001,8.162,15.119,16.87,16.704,23.142,NA,14.358,14.281
"1952",30.563,29.493,26.36,23.489,22.748,21.304,NA,11.731,17.429,16.058,12.731,12.398,11.172,11.02,NA,7.004,8.55400000000001,6.901,18.381,19.013,20.578,21.087,9.633,8.29000000000001,18.371,16.224,12.396,NA,NA,8.762,38.502,40.512,13.045,12.386,5.85600000000001,5.20100000000001,10.944,10.275,20.622,NA,7.11200000000001,24.511,25.611,26.232,26.248,15.936,14.784,12.622,NA,NA,NA,NA,12.295,11.813,NA,NA,NA,6.59,16.615,16.667,13.057,14.184,9.867,9.386,11.599,10.314,22.521,20.21,34.542,34.039,34.84,17.853,17.459,28.932,31.54,15.646,15.685,17.911,17.537,4.308,5.374,NA,NA,NA,NA,8.422,6.74500000000001,24.058,24.872,15.152,14.063,12.331,11.953,NA,10.36,9.62600000000001,10.393,16.836,17.038,NA,16.921,25.293,24.77,20.156,18.613,18.946,16.423,15.287,15.657,11.216,NA,11.974,11.534,11.682,11.204,NA,NA,NA,9.154,NA,NA,NA,NA,5.386,NA,NA,14.632,14.206,11.409,9.65099999999999,NA,NA,NA,NA,20.866,20.556,6.503,8.18700000000001,23.58,25.859,25.936,26.105,20.078,NA,NA,13.596,13.488,26.685,27.782,9.85600000000001,11.203,8.08500000000001,8.061,14.978,16.714,16.569,22.972,NA,14.229,14.153
"1951",30.367,29.338,26.137,23.221,22.543,21.082,NA,11.56,17.316,15.876,12.605,12.28,11.038,10.856,NA,6.857,8.42500000000001,6.712,18.205,18.912,20.356,20.927,9.365,8.09900000000001,18.117,15.999,12.21,NA,NA,8.631,38.228,40.293,12.895,12.3,5.78800000000001,5.12400000000001,10.874,10.171,20.474,NA,7.05900000000001,24.315,25.446,26.046,26.117,15.781,14.588,12.483,NA,NA,NA,NA,12.157,11.688,NA,NA,NA,6.474,16.354,16.474,12.915,14.071,9.753,9.27300000000001,11.53,10.22,22.308,19.946,34.375,33.908,34.634,17.656,17.228,28.726,31.34,15.502,15.54,17.8,17.412,4.245,5.319,NA,NA,NA,NA,8.294,6.63600000000001,23.893,24.681,15.069,13.945,12.237,11.808,NA,10.261,9.47500000000001,10.297,16.658,16.898,NA,16.8,25.148,24.622,20.052,18.457,18.823,16.265,15.216,15.572,11.126,NA,11.894,11.445,11.593,11.086,NA,NA,NA,8.949,NA,NA,NA,NA,5.299,NA,NA,14.43,14.057,11.2,9.53899999999999,NA,NA,NA,NA,20.815,20.419,6.385,8.13800000000001,23.424,25.732,25.645,25.957,19.85,NA,NA,13.556,13.413,26.518,27.611,9.70800000000001,11.074,7.96100000000001,7.919,14.797,16.543,16.438,22.766,NA,14.067,13.999
"1950",30.221,29.196,26.016,23.112,22.392,20.957,NA,11.422,17.267,15.8,12.529,12.191,10.966,10.765,NA,6.764,8.33400000000001,6.593,18.071,18.834,20.192,20.768,9.187,7.95900000000001,17.967,15.88,NA,NA,NA,8.455,38.006,40.129,12.827,12.251,NA,NA,10.825,10.108,20.402,NA,7.01600000000001,24.138,25.278,25.949,26.035,15.709,14.501,12.42,NA,NA,NA,NA,12.068,11.604,NA,NA,NA,NA,16.17,16.348,12.812,13.998,9.69,9.21400000000001,11.483,10.155,22.193,19.785,34.311,33.853,34.525,17.523,17.077,28.57,31.218,15.397,15.433,17.718,17.316,4.179,5.266,NA,NA,NA,NA,8.115,6.47600000000001,23.784,24.562,15.008,13.882,12.192,11.731,NA,10.202,9.37100000000001,10.252,16.535,16.793,NA,16.727,25.036,24.506,19.982,18.36,18.757,16.207,15.166,15.5,11.03,NA,11.786,11.35,11.526,10.985,NA,NA,NA,8.813,NA,NA,NA,NA,5.23,NA,NA,14.331,13.983,11.098,9.47999999999999,NA,NA,NA,NA,20.785,20.335,6.262,8.08600000000001,23.324,25.638,25.441,25.851,19.69,NA,NA,13.518,13.362,26.39,27.488,9.62500000000001,10.991,7.90000000000001,7.858,14.662,16.428,16.345,22.622,NA,13.961,13.884
