"","bm.model","biomass","SE","year","recon","difference","perc.diff"
"1","jenkins.pine",212.568693037177,16.2251546178891,2012,236.619076221635,24.0503831844583,0.113141699470543
"2","nt.piaz",231.228602055045,18.4535076095983,2012,258.114746457807,26.8861444027624,0.116275167361701
"3","nt.pine",255.708969625249,20.5321311234842,2012,285.550673938134,29.8417043128848,0.116701828475626
"4","nt.pipo",299.651082094581,24.7135463773199,2012,335.17922368541,35.5281415908291,0.118565036850476
"5","nt.vcnp",309.668528994013,25.2240811387908,2012,346.117056799563,36.4485278055503,0.117701750074368
"6","nt.pine.dom",291.956541950283,23.9880662329,2012,326.495851238254,34.5393092879706,0.118302912677505
