id,spp,plot,dbh
VLF001,PIPO,1,22.9
VLF002,PIPO,1,12.1
VLF003,PIPO,1,15.9
VLF004,PIPO,1,24.8
VLF005,PIPO,1,21.2
VLF006,PIPO,1,13.2
VLF007,PIPO,1,26.7
VLF008,PIPO,1,21.1
VLF009,PIPO,1,28.1
VLF010,PIPO,1,21.7
VLF011,PIPO,1,28.9
VLF012,PIPO,1,26
VLF013,PIPO,1,15.5
VLF014,PIPO,1,20.4
VLF015,PIPO,1,23.6
VLF016,PIPO,1,27.4
VLF017,PIPO,1,19
VLF018,PIPO,1,31.9
VLF019,PIPO,1,20.9
VLF020,PIPO,1,19.5
VLF021,PIPO,1,14.2
VLF022,PIPO,1,26.3
VLF023,PIPO,1,19
VLF024,PIPO,1,10.2
VLF025,PIPO,1,34
VLF051,PIPO,1,24.3
VLF052,PIPO,1,29.1
VLF053,PIPO,1,20.4
VLF054,PIPO,1,10.8
VLF055,PIPO,1,10.7
VLF056,PIPO,1,16.5
VLF057,PIPO,1,32
VLF058,PIPO,1,22.3
VLF059,PIPO,1,25.2
VLF060,PIPO,1,16.5
VLF061,PIPO,1,34
VLF062,PIPO,1,18.4
VLF063,PIPO,1,10.2
VLF064,PIPO,1,30.1
VLF065,PIPO,1,19.4
VLF066,PIPO,1,17.5
VLF067,PIPO,1,24.3
VLF068,PIPO,1,14.1
VLF069,PIPO,1,21.4
VLF070,PIPO,1,14.5
VLF071,PIPO,1,11.2
VLF072,PIPO,1,31
VLF073,PIPO,1,11.7
VLF074,PIPO,1,27.2
VLF075,PIPO,1,26.2
VLF101,PIPO,2,27.5
VLF102,PIPO,2,36
VLF103,PIPO,2,23.5
VLF104,PIPO,2,32.5
VLF105,PIPO,2,31.5
VLF106,PIPO,2,39
VLF107,PIPO,2,25
VLF108,PIPO,2,33.5
VLF109,PIPO,2,34.5
VLF110,PIPO,2,11
VLF111,PIPO,2,16.5
VLF112,PIPO,2,24
VLF113,PIPO,2,27
VLF114,PIPO,2,36.5
VLF115,PIPO,2,28
VLF116,PIPO,2,17.8
VLF117,PIPO,2,11.7
VLF118,PIPO,2,22.5
VLF119,PIPO,2,21.2
VLF120,PIPO,2,22
VLF121,PIPO,2,30
VLF122,PIPO,2,22.5
VLF123,PIPO,2,40.3
VLF124,PIPO,2,16.7
VLF125,PIPO,2,34
VLF126,PIPO,2,23
VLF127,PIPO,2,40.4
VLF128,PIPO,2,31.8
VLF129,PIPO,2,27
VLF130,PIPO,2,30.4
VLF131,PIPO,2,21.3
VLF132,PIPO,2,17.4
VLF133,PIPO,2,18.6
VLF134,PIPO,2,32.2
VLF135,PIPO,2,20.2
VLF136,PIPO,2,25.5
VLF137,PIPO,2,17
VLF138,PIPO,2,15.8
VLF139,PIPO,2,25.3
VLF140,PIPO,2,31.8
VLF141,PIPO,2,38.2
VLF142,PIPO,2,27.2
VLF143,PIPO,2,37.9
VLF144,PIPO,2,13.1
VLF145,PIPO,2,40.5
VLF146,PIPO,2,23.5
VLF147,PIPO,2,18.3
VLF148,PIPO,2,16
VLF149,PIPO,2,18.6
VLF150,PIPO,2,39.8
