"","bm.model","biomass","SE","year","recon","difference","perc.diff"
"1","jenkins.spruce",198.000473440483,22.2651778505891,2012,217.322646350628,19.3221729101451,0.0975864985290207
"2","nt.spruce",246.402053213967,27.7295236722577,2012,270.456132491346,24.0540792773794,0.0976212615261437
"3","nt.vcnp",259.497700259935,33.0210798592787,2012,286.208312828008,26.7106125680729,0.102931981829963
"4","nt.mixed.con",261.457517329035,31.5849675022282,2012,287.793638977398,26.3361216483635,0.100728110315606
"5","nt.psme",325.95240846149,37.3046291625721,2012,358.016187934297,32.0637794728069,0.0983695123596396
