model,spp,beta0,b0.sd,beta1,b1.sd
jenkins,pine,-2.5356,,2.4349,
jenkins,spruce,-2.0773,,2.3323,
n/t,piaz,0.0572,,2.5569,0.0275
n/t,pine.spp,0.0597,,2.5741,0.013
n/t,spruce,0.155,0.0195,2.334,0.0315
n/t,pipo,0.054,0.004,2.651,0.0175
n/t,vcnp,0.063,0.0035,2.615,0.014
n/t,pine.dom,0.0546,0.00425,2.64,0.0185
n/t,mixed.con,0.0961,0.01,2.493,0.024
,,,,,
