year,apr.swe
1980,14.6
1981,8.7
1982,11.8
1983,20.5
1984,11.3
1985,11.4
1986,3.4
1987,10.3
1988,10.1
1989,1.4
1990,4.3
1991,13.6
1992,17.2
1993,14.5
1994,5.7
1995,10.3
1996,0.1
1997,8.7
1998,10.7
1999,0.0
2000,6.9
2001,8.8
2002,0.0
2003,7.2
2004,2.0
2005,12.3
2006,0.9
2007,5.3
2008,7.9
2009,3.2
2010,10.7
2011,0.2
